cus_CustomerCode,cus_Gender,cus_MartialTypeId,cus_Dependants,cus_CurrenResTypeId,cus_CurrenStyYear,app_CustBankClosBal,app_CustAssetValue,app_CustProductCatTypeId,app_CustBrandTypeId,app_CustIndustryTypeId,app_CustTenure,app_CustInstalCount,app_CustChasAsset,app_CustChasInitial,app_CustChasFinance,app_CustFinanInterest,app_CustEMI,app_CustTotInflow,Score,AnotherScore,cus_Age,Loan_to_Value,Asset_Financed,Gross Income,Banking,Employment_Stabilty,Age_Martial,Geo_Limit,Label
APTW058710,M,2750,0,2755,15,3289,0,1541,1360,879,24,24,63397,21397,42000,13.5,2223,1800,1.0,907,49,120,100,100,-100,80,120,0,Pay
APTW058587,M,2750,2,2755,14,4562,0,1541,1542,879,18,18,63000,22000,41000,13.0,2722,1800,1.0,884,26,120,100,100,-100,100,100,0,Pay
APTW058718,M,2750,2,2755,16,5246,0,1541,1542,879,18,18,53747,22747,31000,10.03,1981,1800,1.0,907,46,120,100,100,-100,80,100,0,Pay
APTW057714,M,2750,4,2755,28,6249,0,1541,1360,879,24,24,61011,19011,42000,10.5,2118,1800,1.0,888,35,120,100,100,-100,100,100,0,Pay
APTW060335,M,2750,3,2755,14,4673,0,1541,1542,879,24,24,54247,18247,36000,13.5,1905,1800,1.0,907,50,120,100,100,-100,-80,100,0,Pay
APTW060613,M,2750,3,2755,14,3816,0,1541,1360,879,18,18,59900,14900,45000,13.0,2988,1500,1.0,884,32,120,100,100,-100,-80,100,1,Pay
APTW060635,M,2750,4,2755,14,5642,0,1541,1542,879,24,24,53747,13747,40000,10.5,2017,1800,1.0,888,40,120,100,100,-100,100,100,0,Pay
APTW058992,M,2750,4,2755,20,8437,0,1541,1542,879,24,24,60314,21314,39000,10.5,1966,1800,825.0,981,43,120,100,100,-100,-80,100,1,Pay
APTW060728,M,2750,3,2755,13,5349,0,1541,1542,879,24,24,58202,18202,40000,15.1,2170,1800,1.0,907,44,120,100,100,-100,80,100,1,Pay
APTW065929,M,2750,4,2755,22,0,650000,1541,1360,1782,24,24,66612,21612,45000,13.5,2381,2300,669.0,960,28,120,100,100,100,-80,100,0,Pay
APTW023206,M,2750,0,2755,18,0,265000,1541,1360,1783,18,18,67112,27112,40000,13.5,2672,2500,652.0,960,31,120,100,100,100,80,120,0,Pay
APTW065065,M,2750,3,2755,20,1500,0,1541,1542,603,18,18,60688,17688,43000,11.0,2783,1500,1.0,907,44,120,100,100,100,100,100,0,Pay
APTW066274,M,2750,4,2755,20,0,265000,1541,1360,1783,24,24,70663,21663,49000,13.5,2593,1500,1.0,884,26,120,100,100,100,80,100,0,Pay
APTW066317,M,2750,4,2755,20,0,268000,1541,1360,1783,24,24,66477,17477,49000,13.5,2593,1500,1.0,884,26,120,100,100,100,100,100,1,Pay
APTW066316,M,2750,4,2755,21,0,265000,1541,1360,1783,18,18,62704,22704,40000,13.5,2672,1500,1.0,884,27,120,100,100,100,100,100,0,Pay
APTW066267,M,2750,4,2755,42,0,265000,1541,1360,1782,24,24,57176,16676,40500,13.0,2126,1500,1.0,923,54,120,100,100,100,80,60,0,Pay
APTW067212,M,2750,4,2755,23,0,265000,1541,1542,1783,18,18,56746,21746,35000,10.0,2236,1000,1.0,884,29,120,100,70,100,100,100,0,Pay
APTW067217,M,2750,4,2755,44,0,265000,1541,1542,1783,24,24,68113,17613,50500,13.5,2672,1000,1.0,907,49,120,100,70,100,100,100,1,Pay
APTW066527,M,2750,4,2755,29,0,250000,1541,1360,1783,24,24,67862,24862,43000,13.0,2258,1000,748.0,939,36,120,100,70,100,80,100,0,Pay
APTW066940,M,2750,4,2755,46,0,254000,1541,1542,1783,18,18,62759,17759,45000,12.5,2969,1000,1.0,923,51,120,100,70,100,80,60,0,Pay
APTW067123,M,2750,4,2755,24,0,265000,1541,1360,1783,12,12,58000,28000,30000,12.5,2813,1000,653.0,967,30,120,100,70,100,100,100,1,Pay
APTW067736,M,2750,2,2755,40,0,245000,1541,1360,1782,18,18,60711,17711,43000,12.5,2837,2000,1.0,923,53,120,100,100,100,-80,60,0,Pay
APTW067732,M,2750,4,2755,32,0,285000,1541,1542,1783,24,24,55254,20254,35000,10.0,1750,2000,1.0,888,39,120,100,100,100,100,100,0,Pay
APTW067694,M,2750,4,2755,31,0,1250000,1541,1360,1782,24,24,87294,26294,61000,12.5,3177,2300,727.0,904,38,120,100,100,100,-80,100,1,Pay
APTW067725,M,2750,4,2755,32,0,265000,1541,1360,1783,24,24,64383,19383,45000,12.5,2344,2000,1.0,888,38,120,100,100,100,100,100,0,Pay
APTW067704,M,2750,4,2755,22,0,265000,1541,1542,1783,18,18,63602,16602,47000,13.5,3140,2000,600.0,887,29,120,100,100,100,80,100,0,Pay
APTW067221,F,2750,4,2755,27,0,268000,1541,1542,1783,18,18,62759,17759,45000,12.5,2969,2000,561.0,891,33,120,100,100,100,100,100,1,Pay
APTW068778,M,2750,2,2755,26,25000,200000,1541,1360,1782,18,18,62000,22000,40000,12.5,2639,2000,1.0,960,32,120,100,100,-100,-80,100,0,Pay
APTW068789,M,2750,0,2755,39,0,250000,1541,1360,603,24,24,67500,19500,48000,10.0,2400,2000,1.0,907,49,120,100,100,100,80,120,1,Pay
APTW068777,M,2750,4,2755,27,0,245000,1541,1542,1783,24,24,56823,17823,39000,12.5,2031,2000,1.0,888,34,120,100,100,100,80,100,0,Pay
APTW068779,M,2750,4,2755,27,0,265000,1541,1542,1783,18,18,56823,17823,39000,12.5,2573,2000,1.0,907,47,120,100,100,100,100,100,0,Pay
APTW068776,M,2750,4,2755,42,0,245000,1541,1542,1783,18,18,56823,17823,39000,12.5,2573,2000,1.0,907,49,120,100,100,100,100,100,0,Pay
APTW068781,M,2750,0,2755,20,0,265000,1541,1542,1782,24,24,56823,11823,45000,12.5,2344,2000,1.0,884,27,120,100,100,100,100,120,1,Pay
APTW068796,M,2750,3,2755,30,0,265000,1541,1542,1782,18,18,68585,18585,50000,10.0,3194,2000,706.0,838,36,120,100,100,100,80,100,0,Pay
APTW068775,M,2750,4,2755,26,0,265000,1541,1542,1783,18,18,56823,17823,39000,12.5,2573,2000,742.0,904,32,120,100,100,100,-80,100,0,Pay
APTW068803,M,2750,2,2755,20,5000,300000,1541,1360,1783,18,18,66951,20951,46000,12.5,3035,2000,1.0,884,28,120,100,100,-100,80,100,1,Pay
APTW068806,M,2750,2,2755,20,0,200000,1541,1360,1783,24,24,59685,16685,43000,10.0,2150,2000,1.0,884,26,120,100,100,100,80,100,0,Pay
APTW068798,M,2750,2,2755,30,0,300000,1541,1360,1782,24,24,67851,19851,48000,10.0,2400,2000,1.0,923,50,120,100,100,100,-80,100,0,Pay
APTW068782,M,2750,3,2755,40,5200,150000,1541,1360,1783,12,12,63761,33761,30000,12.0,2800,2300,1.0,907,46,120,100,100,-100,80,100,1,Pay
APTW068773,M,2750,2,2755,21,0,245000,1541,1542,604,24,24,63456,19456,44000,12.5,2292,2000,634.0,965,28,120,100,100,100,80,100,1,Pay
APTW068780,M,2750,2,2755,19,0,250000,1541,816,1782,18,18,85000,37000,48000,10.0,3067,2000,1.0,884,26,120,-100,100,100,80,100,1,Pay
APTW068546,M,2750,4,2755,31,0,265000,1541,1360,1782,18,18,64289,16289,48000,10.0,3067,2000,526.0,959,37,120,100,100,100,100,100,0,Pay
APTW068765,M,2750,4,2755,20,0,254000,1541,1542,1783,24,24,56823,16823,40000,12.5,2083,2000,1.0,884,26,120,100,100,100,-80,100,0,Pay
APTW068783,M,2750,2,2755,23,0,285000,1541,1542,1783,18,18,56323,16323,40000,12.5,2639,2000,1.0,888,36,120,100,100,100,-80,100,1,Pay
APTW068786,M,2750,0,2755,29,5000,200000,1541,1360,1782,24,24,60000,13000,47000,12.5,2448,2000,1.0,888,35,120,100,100,-100,100,120,1,Pay
APTW069002,M,2750,1,2755,35,0,250000,1541,1542,603,18,18,63456,16456,47000,10.0,3003,2100,736.0,904,42,120,100,100,100,100,100,0,Pay
APTW069014,M,2750,2,2755,23,0,150000,1541,1360,1783,24,24,68486,21486,47000,12.5,2448,2000,1.0,884,29,120,100,100,100,80,100,0,Pay
APTW068986,M,2750,2,2755,29,0,245000,1541,1542,1782,24,24,68810,26810,42000,12.5,2188,2000,1.0,888,36,120,100,100,100,-80,100,1,Pay
APTW068997,M,2750,3,2755,24,0,250000,1541,1542,603,18,18,68810,27810,41000,12.5,2705,2000,1.0,884,31,120,100,100,100,80,100,1,Pay
APTW069069,M,2750,3,2755,17,0,200000,1541,1542,1783,12,12,63456,19456,44000,12.5,4125,2000,1.0,884,24,120,100,100,100,80,100,0,Pay
APTW069029,M,2750,3,2755,26,0,250000,1541,1542,1783,12,12,56823,15323,41500,12.5,3891,2000,1.0,888,36,120,100,100,100,-80,100,1,Pay
APTW069074,M,2750,3,2755,44,0,154000,1541,1542,603,18,18,56823,19323,37500,12.0,2458,2000,1.0,923,51,120,100,100,100,80,60,0,Pay
APTW069107,M,2750,2,2755,39,0,250000,1541,816,603,24,24,109154,49154,60000,12.5,3125,2000,1.0,907,45,120,-100,100,100,80,100,1,Pay
APTW069060,M,2750,0,2755,23,0,215000,1541,1542,1783,24,24,62343,17343,45000,12.5,2344,2000,1.0,888,39,120,100,100,100,-80,120,0,Pay
APTW069065,M,2750,3,2755,37,0,250000,1541,1542,1782,24,24,63456,19456,44000,12.5,2292,2000,1.0,907,44,120,100,100,100,80,100,1,Pay
APTW069088,F,2750,3,2755,17,0,150000,1541,1542,603,12,11,68810,45810,23000,10.0,2300,2000,1.0,884,31,120,100,100,100,80,100,0,Pay
APTW069053,F,2750,0,2755,23,0,250000,1541,1542,1783,18,18,68810,17810,51000,10.0,3258,2100,1.0,884,30,120,100,100,100,-80,120,1,Pay
APTW069102,M,2750,3,2755,44,0,250000,1541,1360,603,24,24,68155,28155,40000,10.0,2000,2100,1.0,923,51,120,100,100,100,100,60,0,Pay
APTW069122,M,2750,2,2755,29,0,200000,1541,1542,1783,18,18,68810,28810,40000,10.0,2556,2000,1.0,888,36,120,100,100,100,100,100,0,Pay
APTW069049,M,2750,0,2755,30,0,200000,1541,1542,1783,18,18,56823,15823,41000,10.0,2619,2000,1.0,888,39,120,100,100,100,100,120,0,Pay
APTW069583,M,2750,4,2755,30,0,200000,1541,1360,1783,24,24,60589,17589,43000,12.5,2240,2000,1.0,888,39,120,100,100,100,100,100,1,Pay
APTW069616,M,2750,4,2755,29,0,200000,1541,1360,1783,24,24,64539,17539,47000,12.5,2448,2000,687.0,932,34,120,100,100,100,80,100,1,Pay
APTW069591,F,2750,3,2755,20,0,150000,1541,1360,1783,24,24,63984,18984,45000,10.0,2250,2000,1.0,888,35,120,100,100,100,-80,100,1,Pay
APTW069601,F,2750,2,2755,20,0,200000,1541,1360,1783,18,18,60739,22739,38000,10.0,2428,2100,1.0,884,25,120,100,100,100,-80,100,0,Pay
APTW069596,M,2750,4,2755,35,0,250000,1541,1360,1783,24,24,64536,17536,47000,12.5,2448,2000,1.0,888,42,120,100,100,100,80,100,1,Pay
APTW069861,M,2750,4,2755,25,0,200000,1541,1542,1783,18,18,63689,21689,42000,10.0,2683,2100,1.0,888,39,120,100,100,100,-80,100,1,Pay
APTW069704,M,2750,4,2755,56,0,200000,1541,1542,1783,18,18,63456,22456,41000,12.5,2705,2000,1.0,923,69,120,100,100,100,80,0,0,Pay
APTW069865,M,2750,4,2755,20,0,150000,1541,1542,1783,18,18,61350,26750,34600,12.5,2283,2000,1.0,884,28,120,100,100,100,-80,100,1,Pay
APTW069998,M,2750,2,2755,25,0,1200000,1541,1546,1783,18,18,60202,20702,39500,12.5,2606,2000,802.0,947,31,120,100,100,100,100,100,1,Pay
APTW070000,M,2750,2,2755,30,0,320000,1541,1542,1783,24,24,56933,14423,42510,12.5,2214,2000,1.0,888,41,120,100,100,100,100,100,0,Pay
APTW070663,M,2750,2,2755,10,1500,0,1541,1360,1783,18,18,69610,19110,50500,12.5,3332,1800,1.0,907,45,120,100,100,100,-80,100,1,Pay
APTW070669,M,2750,8,2755,25,1500,0,1541,1360,1783,24,24,56488,14488,42000,12.5,2188,1800,1.0,884,27,120,100,100,100,100,100,0,Pay
APTW070671,F,2750,0,2755,10,1500,0,1541,1360,1782,24,24,63374,21374,42000,10.0,2100,2000,1.0,888,31,120,100,100,100,100,120,0,Pay
APTW070658,M,2750,0,2755,20,1500,0,1541,1542,1782,24,24,57023,15023,42000,12.0,2170,1800,1.0,884,30,120,100,100,100,100,120,1,Pay
APTW070662,M,2750,2,2755,24,1500,0,1541,1542,1783,24,24,56936,13936,43000,12.0,2222,1800,1.0,884,30,120,100,100,100,80,100,0,Pay
APTW070664,M,2750,0,2755,5,1500,0,1541,1542,1783,24,24,57046,17546,39500,12.0,2041,1800,1.0,884,31,120,100,100,100,80,120,0,Pay
APTW070665,M,2750,0,2755,6,1500,0,1541,1542,1782,18,18,56936,14436,42500,12.5,2804,1800,1.0,888,34,120,100,100,100,-80,120,0,Pay
APTW070865,M,2750,0,2755,20,1500,0,1541,1542,1783,24,24,62364,15664,46700,12.0,2413,1800,1.0,959,30,120,100,100,100,-80,120,1,Pay
APTW070842,M,2750,4,2755,25,1500,0,1541,1542,1783,24,24,56945,14445,42500,12.5,2214,1800,1.0,907,44,120,100,100,100,-80,100,0,Pay
APTW070840,M,2750,2,2755,20,1500,0,1541,1542,1783,18,18,63456,19456,44000,12.5,2903,2000,1.0,884,30,120,100,100,100,100,100,1,Pay
APTW070905,M,2750,1,2755,15,1500,0,1541,1360,1782,24,24,59382,17382,42000,12.0,2170,1800,1.0,888,35,120,100,100,100,80,100,1,Pay
APTW070911,M,2750,1,2755,10,1500,0,1541,1360,1783,24,24,62000,17000,45000,12.0,2325,1800,1.0,884,28,120,100,100,100,-80,100,0,Pay
APTW070964,F,2750,2,2755,5,1500,0,1541,1542,1783,24,24,56697,14467,42230,12.0,2182,1800,1.0,888,37,120,100,100,100,100,100,1,Pay
APTW061262,F,2750,0,2755,10,1000,0,1541,1360,605,18,18,55500,10500,45000,13.0,2988,500,1.0,888,36,120,100,50,100,100,120,0,Pay
APTW061266,M,2750,0,2755,25,1000,0,1541,1542,605,24,24,54650,11850,42800,13.0,2247,500,1.0,909,37,120,100,50,100,-80,120,0,Pay
APTW062005,M,2750,0,2755,2,1000,0,1541,1360,875,24,24,56000,13500,42500,13.0,2231,0,725.0,954,49,120,100,-50,100,100,120,0,Pay
APTW062009,F,2750,0,2755,6,0,0,1541,1360,878,18,18,62700,12700,50000,13.0,3319,0,2.0,909,33,120,100,-50,100,80,120,0,Pay
APTW062000,M,2750,0,2755,29,1000,0,1541,935,605,30,30,54550,15550,39000,13.0,1723,0,1.0,888,35,120,50,-50,100,-80,120,0,Pay
APTW061817,M,2750,0,2755,35,1000,0,1541,1542,605,24,24,59000,21000,38000,12.0,1963,0,1.0,888,41,120,100,-50,100,100,120,1,Pay
APTW066448,M,2750,3,2755,30,1500,0,1541,1542,603,18,18,57350,28050,29300,11.5,1909,1000,1.0,888,37,120,100,70,100,80,100,0,Pay
APTW066439,M,2750,0,2755,40,0,0,1541,1546,878,24,24,60140,18140,42000,13.0,2205,1000,1.0,923,58,120,100,70,100,100,80,0,Pay
APTW067510,M,2750,0,2755,15,1000,0,1541,1542,878,24,24,69900,21900,48000,12.0,2480,0,1.0,884,29,120,100,-50,100,100,120,0,Pay
APTW067308,M,2750,0,2755,40,1000,0,1541,1542,1783,24,24,63000,28000,35000,11.0,1779,0,1.0,923,58,120,100,-50,100,-80,80,0,Pay
APTW069076,M,2750,4,2755,32,0,265000,1541,935,1783,24,24,57000,20500,36500,13.0,1916,1800,1.0,907,43,120,50,100,100,-80,100,0,Pay
APTW069080,M,2750,4,2755,21,0,265000,1541,935,1783,24,24,38000,10000,28000,12.0,1447,1800,1.0,884,27,120,50,100,100,-80,100,1,Pay
APTW057684,M,2750,2,2755,15,7829,0,1541,816,879,24,24,98500,37000,61500,13.5,3254,1800,1.0,884,26,120,-100,100,-100,-80,100,1,Pay
APTW060047,M,2750,5,2755,18,6819,0,1541,1547,879,18,18,58000,17500,40500,13.5,2706,1800,1.0,923,67,120,50,100,-100,100,0,1,Pay
APTW060393,M,2750,2,2755,9,5279,0,1541,1547,879,18,18,58000,17500,40500,13.5,2706,1800,1.0,884,27,120,50,100,-100,-80,100,0,Pay
APTW060397,M,2750,2,2756,8,4592,0,1541,1360,879,12,12,61000,26000,35000,13.5,3310,1800,1.0,888,39,120,100,100,-100,80,100,0,Pay
APTW060400,M,2750,2,2755,14,8463,0,1541,1360,879,18,18,62000,20700,41300,13.5,2759,1800,1.0,923,52,120,100,100,-100,100,60,1,Pay
APTW179767,M,2750,0,2755,20,0,0,1541,1544,603,30,30,86200,10200,76000,13.0,3357,2300,1.0,888,35,100,100,100,100,100,120,0,Pay
APTW180181,M,2750,0,2755,10,0,0,1541,1360,1783,18,17,75500,16300,59200,12.0,4109,2300,748.0,920,54,120,100,100,100,-80,80,1,Pay
APTW180216,M,2750,0,2755,10,0,0,1541,1360,1783,18,17,75000,16300,58700,11.5,4049,2300,1.0,923,46,120,100,100,100,-80,120,1,Pay
APTW179846,M,2750,0,2755,10,0,0,1541,1542,1783,18,17,70727,7200,63527,12.0,4410,2300,1.0,884,23,100,100,100,100,-80,120,1,Pay
APTW180223,M,2750,0,2755,30,0,0,1541,1546,1783,24,22,85000,5000,80000,11.8,4495,3200,1.0,907,42,50,100,100,100,100,120,0,Pay
APTW179847,M,2750,0,2755,10,0,0,1541,1542,1783,24,23,70727,5700,65027,12.0,3506,2300,1.0,884,23,50,100,100,100,100,120,0,Pay
APTW180209,F,2750,0,2755,8,0,0,1541,1360,1782,12,12,73000,20000,53000,13.0,4991,2300,1.0,884,25,120,100,100,100,100,120,0,Pay
APTW180244,M,2750,0,2755,30,0,0,1541,1360,1783,18,17,71103,21603,49500,11.8,3427,2700,1.0,923,52,120,100,100,100,100,80,1,Pay
APTW180262,F,2750,0,2756,10,0,0,1541,1360,1782,30,29,67005,7005,60000,11.75,2677,1300,1.0,888,37,100,100,100,100,100,120,0,Pay
APTW180708,M,2750,0,2755,14,0,0,1541,1360,1782,24,24,66694,7194,59500,13.0,3124,2500,1.0,884,20,100,100,100,100,-80,0,0,Pay
APTW179342,F,2750,0,2756,12,0,0,1541,1360,1783,24,24,73000,8000,65000,13.0,3413,2300,726.0,979,47,100,100,100,100,80,120,1,Pay
APTW181937,M,2750,0,2755,10,0,0,1541,1542,1783,24,23,72000,4000,68000,11.75,3651,1800,647.0,968,40,50,100,100,100,80,120,0,Pay
APTW180724,M,2750,0,2755,20,0,0,1541,1542,1783,24,22,72200,12400,59800,11.8,3360,2300,1.0,884,24,120,100,100,100,-80,120,1,Pay
APTW179406,M,2750,0,2755,30,0,0,1541,1647,1783,30,28,103100,19100,84000,11.8,3885,2300,1.0,888,35,120,50,100,100,-80,120,0,Pay
APTW181943,F,2750,0,2755,10,100,0,1541,1542,603,24,23,62370,4570,57800,11.25,3078,2500,,,24,50,100,100,100,80,120,0,Pay
APTW179550,M,2750,0,2755,20,0,0,1541,1360,1783,30,29,94000,20700,73300,10.75,3207,3000,1.0,884,22,120,100,100,100,-80,120,1,Pay
APTW180810,M,2750,0,2756,3,0,0,1541,1544,1783,24,22,71000,10000,61000,11.8,3427,2300,719.0,920,45,100,100,100,80,80,120,1,Pay
APTW182001,F,2750,0,2756,8,0,0,1541,1647,1783,36,34,68130,7130,61000,11.8,2429,2300,4.0,904,31,100,50,100,100,-80,120,1,Pay
APTW179383,M,2750,0,2756,5,0,0,1541,1360,1783,30,29,76827,8827,68000,12.5,3078,2800,698.0,887,25,100,100,100,100,-80,120,1,Pay
APTW181521,F,2750,0,2755,14,0,0,1541,935,877,30,29,73608,6700,66908,12.0,2999,2300,1.0,884,22,50,50,100,100,80,120,0,Pay
APTW179413,F,2750,0,2755,10,0,0,1541,1542,1783,30,29,71351,7700,63651,11.79,2842,2300,725.0,909,40,100,100,100,100,80,120,1,Pay
APTW181546,M,2750,0,2755,10,0,0,1541,1360,1783,30,29,76258,21358,54900,12.25,2473,2800,544.0,796,25,120,100,100,100,100,120,0,Pay
APTW179530,M,2750,0,2755,35,0,0,1541,1549,1783,36,35,194560,49560,145000,10.75,5479,4300,727.0,904,28,120,50,100,100,100,120,1,Pay
APTW181681,F,2750,0,2756,25,0,0,1541,1542,1783,24,23,65000,7000,58000,11.75,3114,2300,1.0,888,37,100,100,100,100,-80,120,1,Pay
APTW181522,M,2750,0,2755,10,0,0,1541,1542,1783,24,23,70000,4000,66000,11.75,3544,1800,623.0,909,42,50,100,100,100,-80,120,1,Pay
APTW181489,F,2750,0,2755,30,0,0,1541,1360,1783,18,17,72825,10825,62000,11.8,4293,2700,1.0,907,42,100,100,100,100,80,120,0,Pay
APTW180154,F,2750,0,2755,15,0,0,1541,1647,1783,24,24,57085,6085,51000,13.0,2678,2300,727.0,951,36,100,50,100,100,80,120,0,Pay
APTW179247,F,2750,0,2755,30,0,0,1541,1360,1783,30,29,68882,8882,60000,11.75,2677,1300,1.0,888,29,100,100,100,100,-80,120,0,Pay
APTW180553,F,2750,0,2755,10,0,0,1541,1360,1783,24,24,72825,12825,60000,13.0,3150,2800,1.0,884,22,120,100,100,100,-80,120,1,Pay
APTW181010,M,2750,0,2755,25,0,0,1541,1549,603,36,36,189200,42200,147000,10.0,5308,3591,688.0,900,27,120,50,100,100,80,120,0,Pay
APTW180597,M,2750,0,2755,14,0,0,1541,1360,877,24,24,70755,8755,62000,13.01,3256,2500,1.0,888,34,100,100,100,100,-80,120,1,Pay
APTW179829,M,2750,0,2756,2,0,0,1541,1360,1783,30,29,70000,11000,59000,11.75,2632,1500,1.0,959,23,120,100,100,100,100,120,0,Pay
APTW179697,M,2750,0,2756,15,0,0,1541,1542,1783,18,18,67967,9307,58660,13.0,3894,2300,1.0,923,49,100,100,100,100,-80,120,1,Pay
APTW179307,M,2750,0,2755,20,0,0,1541,1549,603,36,36,198400,48400,150000,10.0,5417,3651,1.0,884,23,120,50,100,100,80,120,1,Pay
APTW180156,M,2750,0,2755,20,0,0,1541,1360,1783,24,24,84000,11000,73000,13.0,3833,2800,1.0,884,25,100,100,100,100,80,120,0,Pay
APTW180563,M,2750,0,2755,14,0,0,1541,1360,1782,12,12,72610,51610,21000,13.0,1978,2500,1.0,888,33,120,100,100,100,80,120,1,Pay
APTW181427,M,2750,0,2755,14,0,0,1541,1360,877,24,23,75746,10746,65000,11.75,3490,2800,688.0,832,23,100,100,100,100,-80,120,1,Pay
APTW181469,M,2750,0,2755,6,0,0,1541,1549,1783,36,36,185500,39600,145900,11.2,5415,5577,1.0,884,20,120,50,100,100,-80,0,0,Pay
APTW181621,M,2750,0,2755,5,0,0,1541,1549,1782,36,35,189163,34163,155000,10.75,5857,4600,1.0,907,43,120,50,100,100,100,120,0,Pay
APTW179736,M,2750,0,2755,10,0,0,1541,1542,1783,24,24,67967,7067,60900,13.0,3197,2300,660.0,940,31,100,100,100,100,100,120,0,Pay
APTW181692,M,2750,0,2755,14,0,0,1541,1546,877,30,29,85880,4880,81000,12.5,3666,2800,1.0,884,21,50,100,100,100,-80,120,0,Pay
APTW179313,M,2750,0,2755,14,0,0,1541,1360,877,18,18,72610,16610,56000,13.0,3718,2500,1.0,884,27,120,100,100,100,-80,120,0,Pay
APTW179277,M,2750,0,2755,10,0,0,1541,1360,1783,18,17,74610,20110,54500,12.3,3797,2300,1.0,888,30,120,100,100,100,100,120,1,Pay
APTW180200,M,2750,0,2755,14,0,0,1541,1549,877,18,18,180463,40463,140000,10.0,8944,3335,1.0,884,26,120,50,100,100,80,120,0,Pay
APTW181043,M,2750,0,2755,10,0,0,1541,1542,1783,24,23,72351,12700,59651,11.86,3209,2300,1.0,888,33,120,100,100,100,80,120,1,Pay
APTW181710,M,2750,0,2755,29,0,0,1541,1360,1782,18,17,99000,23000,76000,11.75,5259,2800,1.0,888,30,120,100,100,100,80,120,1,Pay
APTW179863,F,2750,0,2756,5,0,0,1541,1360,1783,24,24,74000,18000,56000,13.0,2940,2300,1.0,923,46,120,100,100,100,-80,120,0,Pay
